State,Intercept,Slope,Beta,Alpha
Normal,1.0940606883777506,-17.037652399414693,1.0940606883777506,-15.572858599533225
Activity,1.4346655714407688,-18.560998782854522,1.4346655714407688,-12.937509028124627
Alcohol,1.0478802383548538,-14.27046380661741,1.0478802383548538,-13.61841104000748
Sick,0.9288861380456795,-12.752375516613617,0.9288861380456795,-13.728674585933478
