State,Intercept,Slope,Beta,Alpha
Normal,0.5572916294430008,-5.905713789049419,0.5572916294430008,-10.597169376026756
Activity,0.6495410786043927,-3.7374446257020684,0.6495410786043927,-5.753977306150307
Alcohol,0.6475181849857946,-9.386549235615643,0.6475181849857946,-14.496194011634696
Sick,1.2354671140155378,-16.343090826074658,1.2354671140155378,-13.228268596285048
